Location	Fish	Latitude	Longitude
"St Kilda, St Kilda"	"Snapper, King George Whiting, Garfish, Salmon"	-37.864	144.982
"Yarra River, Port Melbourne"	"Snapper, King George Whiting, Garfish, Salmon"	-37.823889	144.911111
"Maribyrnong River, West Melbourne"	"Snapper, King George Whiting, Garfish, Salmon"	-37.81027	144.934473
"Patterson River, Bonbeach"	"Snapper, King George Whiting, Garfish, Salmon"	-38.070348	145.128965
"Carrum, Carrum"	"Snapper, King George Whiting, Garfish, Salmon"	-38.076007	145.12049
"Altona to Williamstown, Altona"	"Snapper, King George Whiting, Garfish, Salmon"	-37.871206	144.830146
"Bemm River, Bemm River"	"Snapper, King George Whiting, Garfish, Salmon"	-37.75901	148.960612
"Metung, Boole Poole"	"Snapper, King George Whiting, Garfish, Salmon"	-37.878873	147.858789
"Mitchell River, East Bairnsdale"	"Snapper, King George Whiting, Garfish, Salmon"	-37.81807	147.622204
"Maramingo Creek, Genoa"	"Snapper, King George Whiting, Garfish, Salmon"	-37.432356	149.630868
"Gipsy Point, Gipsy Point"	"Snapper, King George Whiting, Garfish, Salmon"	-37.483599	149.673809
"Lake Victoria, Goon Nure"	"Snapper, King George Whiting, Garfish, Salmon"	-38.050139	147.577321
"Lake Tyers, Lake Tyers"	"Snapper, King George Whiting, Garfish, Salmon"	-37.834508	148.119607
"Mallacoota Inlet, Mallacoota"	"Snapper, King George Whiting, Garfish, Salmon"	-37.533333	149.783333
"Marlo, Marlo"	"Snapper, King George Whiting, Garfish, Salmon"	-37.75566	148.5275
"Nicholson River, Nicholson"	"Snapper, King George Whiting, Garfish, Salmon"	-37.795633	147.752917
"Lakes Entrance, Nyerimilang"	"Snapper, King George Whiting, Garfish, Salmon"	-37.878523	147.925587
"Tambo River, Swan Reach"	"Snapper, King George Whiting, Garfish, Salmon"	-37.823424	147.862759
"Tamboon Inlet, Tamboon"	"Snapper, King George Whiting, Garfish, Salmon"	-37.757773	149.130009
"Wallagaraugh River, Wallagaraugh"	"Snapper, King George Whiting, Garfish, Salmon"	-37.451632	149.693012
"Wingan Inlet, Wingan River"	"Snapper, King George Whiting, Garfish, Salmon"	-37.740234	149.498563
"Dimboola, Dimboola"	"Snapper, King George Whiting, Garfish, Salmon"	-36.457243	142.023225
"Konong Wootong Reservoir, Konong Wootong"	"Snapper, King George Whiting, Garfish, Salmon"	-37.494508	141.6505
"Lake Bolac, Lake Bolac"	"Snapper, King George Whiting, Garfish, Salmon"	-37.709334	142.837543
"Lake Wartook, Zumsteins"	"Snapper, King George Whiting, Garfish, Salmon"	-37.080833	142.4525
"Goulburn River, Acheron"	"Snapper, King George Whiting, Garfish, Salmon"	-37.276808	145.716026
"Omeo Valley, Anglers Rest"	"Snapper, King George Whiting, Garfish, Salmon"	-36.99557	147.511508
"Lake Guy, Bogong"	"Snapper, King George Whiting, Garfish, Salmon"	-36.802421	147.226113
"Lake Buffalo, Buffalo"	"Snapper, King George Whiting, Garfish, Salmon"	-36.727379	146.664011
"Lake Dartmouth, Dartmouth"	"Snapper, King George Whiting, Garfish, Salmon"	-36.62543	147.615575
"Eildon Pondage, Eildon"	"Snapper, King George Whiting, Garfish, Salmon"	-37.229516	145.919282
"Lower Mitta Mitta, Eskdale"	"Snapper, King George Whiting, Garfish, Salmon"	-36.475341	147.350797
"Falls Creek, Falls Creek"	"Snapper, King George Whiting, Garfish, Salmon"	-36.865881	147.28698
"Lake Eildon, Lake Eildon"	"Snapper, King George Whiting, Garfish, Salmon"	-37.120044	145.896887
"Nariel Creek, Nariel Valley"	"Snapper, King George Whiting, Garfish, Salmon"	-36.34145	147.797897
"Kiewa River, Running Creek"	"Snapper, King George Whiting, Garfish, Salmon"	-36.531357	147.047962
"Rubicon River, Thornton"	"Snapper, King George Whiting, Garfish, Salmon"	-37.249979	145.760829
"Snapper Spots, Crib Point"	"Snapper, King George Whiting, Garfish, Salmon"	-38.372303	145.225182
"Elephant Triangle, French Island"	"Snapper, King George Whiting, Garfish, Salmon"	-38.348434	145.364914
