location_id,location,fish,latitude,longitude
7,"Bemm River, Bemm River	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.75901	",148.960612
8,"Metung, Boole Poole	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.878873",147.858789
9,"Mitchell River, East Bairnsdale	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.81807",147.622204
10,"Maramingo Creek, Genoa	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.432356",149.630868
11,"Gipsy Point, Gipsy Point	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.483599	",149.673809
12,"Lake Victoria, Goon Nure	","Snapper, King George Whiting, Garfish, Salmon"," 	-38.050139	",147.577321
13,"Lake Tyers, Lake Tyers	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.834508	",148.119607
14,"Mallacoota Inlet, Mallacoota	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.533333	",149.783333
15,"Marlo, Marlo	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.75566	",148.5275
16,"Nicholson River, Nicholson	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.795633	",147.752917
17,"Lakes Entrance, Nyerimilang	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.878523	",147.925587
18,"Tambo River, Swan Reach	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.823424	",147.862759
19,"Tamboon Inlet, Tamboon	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.757773	",149.130009
20,"Wallagaraugh River, Wallagaraugh	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.451632	",149.693012
21,"Wingan Inlet, Wingan River	","Snapper, King George Whiting, Garfish, Salmon"," 	-37.740234	",149.498563
